Date,date,AUSS,id,USDGBP,frequency
Impo--15,Important notes,,8,,
1983-8-15,1983 AUG,,636,,monthly
1983-9-15,1983 SEP,,637,,monthly
1983-10-15,1983 OCT,,638,,monthly
1983-11-15,1983 NOV,,639,,monthly
1983-12-15,1983 DEC,,640,,monthly
1984-1-15,1984 JAN,,641,,monthly
1984-2-15,1984 FEB,,642,,monthly
1984-3-15,1984 MAR,,643,,monthly
1984-4-15,1984 APR,,644,,monthly
1984-5-15,1984 MAY,,645,,monthly
1984-6-15,1984 JUN,,646,,monthly
1984-7-15,1984 JUL,,647,,monthly
1984-8-15,1984 AUG,,648,,monthly
1984-9-15,1984 SEP,,649,,monthly
1984-10-15,1984 OCT,,650,,monthly
1984-11-15,1984 NOV,,651,,monthly
1984-12-15,1984 DEC,,652,,monthly
1985-1-15,1985 JAN,,653,,monthly
1985-2-15,1985 FEB,,654,,monthly
1985-3-15,1985 MAR,,655,,monthly
1985-4-15,1985 APR,,656,,monthly
1985-5-15,1985 MAY,,657,,monthly
1985-6-15,1985 JUN,,658,,monthly
1985-7-15,1985 JUL,,659,,monthly
1985-8-15,1985 AUG,,660,,monthly
1985-9-15,1985 SEP,,661,,monthly
1985-10-15,1985 OCT,,662,,monthly
1985-11-15,1985 NOV,,663,,monthly
1985-12-15,1985 DEC,,664,,monthly
1986-1-15,1986 JAN,,665,,monthly
1986-2-15,1986 FEB,,666,,monthly
1986-3-15,1986 MAR,,667,,monthly
1986-4-15,1986 APR,,668,,monthly
1986-5-15,1986 MAY,,669,,monthly
1986-6-15,1986 JUN,,670,,monthly
1986-7-15,1986 JUL,,671,,monthly
1986-8-15,1986 AUG,,672,,monthly
1986-9-15,1986 SEP,,673,,monthly
1986-10-15,1986 OCT,,674,,monthly
1986-11-15,1986 NOV,,675,,monthly
1986-12-15,1986 DEC,,676,,monthly
1987-1-15,1987 JAN,,677,,monthly
1987-2-15,1987 FEB,,678,,monthly
1987-3-15,1987 MAR,,679,,monthly
1987-4-15,1987 APR,,680,,monthly
1987-5-15,1987 MAY,,681,,monthly
1987-6-15,1987 JUN,,682,,monthly
1987-7-15,1987 JUL,,683,,monthly
1987-8-15,1987 AUG,,684,,monthly
1987-9-15,1987 SEP,,685,,monthly
1987-10-15,1987 OCT,,686,,monthly
1987-11-15,1987 NOV,,687,,monthly
1987-12-15,1987 DEC,,688,,monthly
1988-1-15,1988 JAN,,689,,monthly
1988-2-15,1988 FEB,,690,,monthly
