Date,Date2,Reserve balances,Weekly amounts outstanding of Central Bank short-term open market operations (fine-tuning) (in sterling millions) not seasonally adjusted                           RPWB58A,Weekly amounts outstanding of Central Bank sterling short-term market operations with Bank of England counterparties (one-week) (in sterling millions) not seasonally adjusted                           RPWB9R8,Weekly amounts outstanding of Central Bank short-term open market operations (other maturity within-maintenance period sterling) (in sterling millions) not seasonally adjusted                           RPWBV79,Notes,Weekly amounts outstanding of Central Bank fine-tuning reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB68A,Weekly amounts outstanding of Central Bank one-week reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB67A,Weekly amounts outstanding of Central Bank sterling other maturity within-maintenance period reverse repos Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWBL59,Weekly amounts outstanding of Central Bank sterling indexed long-term repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TJ,Weekly amounts outstanding of Central Bank sterling contingent term repo facility with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TK,Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL,Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM,Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [b]             RPWZO8Q,Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4,Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3,Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted                           RPWB59A,Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted                           RPWZ4TN,Series
27-Dec-17,2017-12-27,460366,0,0,0,77444,0,0,0,4417,0,9961,547819,n/a,n/a,n/a,4450,4472,
20-Dec-17,2017-12-20,463435,0,0,0,76581,0,0,0,4417,0,9920,547539,n/a,n/a,n/a,4451,4471,
13-Dec-17,2017-12-13,463511,0,0,0,75812,0,0,0,4417,0,9939,545251,n/a,n/a,n/a,4468,4487,
06-Dec-17,2017-12-06,458571,0,0,0,75686,0,0,0,4072,0,9956,538399,n/a,n/a,n/a,4462,4480,
29-Nov-17,2017-11-29,458666,0,0,0,75450,0,0,0,4072,0,9950,537583,n/a,n/a,n/a,4456,4473,
22-Nov-17,2017-11-22,456730,0,0,0,75165,0,0,0,4072,0,9960,536398,n/a,n/a,n/a,4499,4514,
15-Nov-17,2017-11-15,457665,0,0,0,74961,0,0,0,4072,0,9925,535560,n/a,n/a,n/a,4542,4556,
08-Nov-17,2017-11-08,457705,0,0,0,75029,0,0,0,6067,0,9908,535115,n/a,n/a,n/a,4566,4580,
01-Nov-17,2017-11-01,457648,0,0,0,75133,0,0,0,6067,0,9820,534915,n/a,n/a,n/a,4514,4525,
25-Oct-17,2017-10-25,458084,0,0,0,74784,0,0,0,6067,0,9768,534353,n/a,n/a,n/a,4514,4523,
18-Oct-17,2017-10-18,456816,0,0,0,74842,0,0,0,6067,0,9762,532537,n/a,n/a,n/a,4545,4553,
11-Oct-17,2017-10-11,456370,0,0,0,75071,0,0,0,6067,0,9709,532292,n/a,n/a,n/a,4541,4547,
04-Oct-17,2017-10-04,453804,0,0,0,75271,0,0,0,6572,0,9688,530041,n/a,n/a,n/a,4510,4515,
27-Sep-17,2017-09-27,448753,0,0,0,75343,0,0,0,6572,0,9610,529542,n/a,n/a,n/a,4476,4480,
20-Sep-17,2017-09-20,445826,0,0,0,75218,0,0,0,6572,0,9593,529324,n/a,n/a,n/a,4418,4421,
13-Sep-17,2017-09-13,441894,0,0,0,75187,0,0,0,6572,0,9671,527624,n/a,n/a,n/a,4533,4555,
06-Sep-17,2017-09-06,428797,0,0,0,75328,0,0,0,8777,0,9820,527444,n/a,n/a,n/a,4596,4615,
30-Aug-17,2017-08-30,445784,0,0,0,75408,0,0,0,8777,0,9768,527852,n/a,n/a,n/a,4645,4677,
23-Aug-17,2017-08-23,443926,0,0,0,75013,0,0,0,8777,0,10488,527740,n/a,n/a,n/a,4690,4722,
16-Aug-17,2017-08-16,449866,0,0,0,74885,0,0,0,8777,0,10403,525375,n/a,n/a,n/a,4660,4690,
09-Aug-17,2017-08-09,450082,0,0,0,74853,0,0,0,9557,0,10378,524636,n/a,n/a,n/a,4618,4647,
02-Aug-17,2017-08-02,448704,0,0,0,74917,0,0,0,9557,0,10264,524589,n/a,n/a,n/a,4535,4564,
26-Jul-17,2017-07-26,448603,0,0,0,75082,0,0,0,9557,0,10231,523315,n/a,n/a,n/a,4590,4618,
19-Jul-17,2017-07-19,446250,0,0,0,74908,0,0,0,9557,0,10209,520661,n/a,n/a,n/a,4597,4624,
12-Jul-17,2017-07-12,445381,0,0,0,74974,0,0,0,9557,0,10106,520486,n/a,n/a,n/a,4651,4675,
05-Jul-17,2017-07-05,447611,0,0,0,74878,0,0,0,11210,0,10074,520461,n/a,n/a,n/a,4633,4657,
28-Jun-17,2017-06-28,441717,0,0,0,74690,0,0,0,11210,0,10071,514256,n/a,n/a,n/a,4636,4658,
21-Jun-17,2017-06-21,440845,0,0,0,74359,0,0,0,11210,0,10101,513661,n/a,n/a,n/a,4732,4755,
14-Jun-17,2017-06-14,437837,0,0,0,74280,0,0,0,11210,0,10135,510195,n/a,n/a,n/a,4692,4713,
07-Jun-17,2017-06-07,439528,0,0,0,74365,0,0,0,13385,0,10094,510023,n/a,n/a,n/a,4627,4648,
31-May-17,2017-05-31,437760,0,0,0,74776,0,0,0,13385,0,10126,508298,n/a,n/a,n/a,4649,4666,
24-May-17,2017-05-24,440568,0,0,0,74165,0,0,0,13385,0,10103,508034,n/a,n/a,n/a,4628,4644,
17-May-17,2017-05-17,438405,0,0,0,73733,0,0,0,13385,0,10100,505174,n/a,n/a,n/a,4632,4647,
10-May-17,2017-05-10,435710,0,0,0,74066,0,0,0,12575,0,10043,503704,n/a,n/a,n/a,4629,4645,
03-May-17,2017-05-03,434532,0,0,0,74706,0,0,0,12575,0,10076,502891,n/a,n/a,n/a,4647,4661,
26-Apr-17,2017-04-26,434068,0,0,0,74239,0,0,0,12575,0,10072,502500,n/a,n/a,n/a,4662,4674,
